Año;Periodo;Agua embalsada
2002;Semana 35;25.832
2002;Semana 36;25.535
2002;Semana 37;25.129
2002;Semana 38;24.847
2002;Semana 39;24.941
2002;Semana 40;24.903
2002;Semana 41;24.815
2002;Semana 42;24.994
2002;Semana 43;25.187
2002;Semana 44;25.694
2002;Semana 45;25.783
2002;Semana 46;25.876
2002;Semana 47;26.466
2002;Semana 48;27.886
2002;Semana 49;29.071
2002;Semana 50;29.718
2002;Semana 51;30.308
2002;Semana 52;32.095
2002;Semana 53;33.746
2003;Semana 1;34.784
2003;Semana 2;35.461
2003;Semana 3;35.565
2003;Semana 4;37.081
2003;Semana 5;37.052
2003;Semana 6;36.944
2003;Semana 7;36.908
2003;Semana 8;37.282
2003;Semana 9;39.184
2003;Semana 10;39.591
2003;Semana 11;39.657
2003;Semana 12;39.716
2003;Semana 13;40.192
2003;Semana 14;40.570
2003;Semana 15;40.416
2003;Semana 16;41.115
2003;Semana 17;41.639
2003;Semana 18;41.740
2003;Semana 20;41.859
2003;Semana 22;41.080
2003;Semana 23;40.921
2003;Semana 24;40.419
2003;Semana 25;39.632
2003;Semana 26;38.830
2003;Semana 27;38.065
2003;Semana 28;37.181
2003;Semana 29;36.334
2003;Semana 30;35.403
2003;Semana 31;34.547
2003;Semana 32;33.623
2003;Semana 33;32.779
2003;Semana 34;32.026
2003;Semana 35;31.474
2003;Semana 36;31.170
2003;Semana 37;31.025
2003;Semana 38;30.470
2003;Semana 39;29.872
2003;Semana 40;29.983
2003;Semana 41;29.796
2003;Semana 42;29.848
2003;Semana 43;30.073
2003;Semana 44;31.514
2003;Semana 45;32.035
2003;Semana 46;32.789
2003;Semana 47;33.510
2003;Semana 48;34.308
2003;Semana 49;35.317
2003;Semana 50;36.225
2003;Semana 51;35.900
2003;Semana 52;35.651
2004;Semana 1;36.209
2004;Semana 2;36.196
2004;Semana 3;36.588
2004;Semana 4;36.786
2004;Semana 5;37.256
2004;Semana 6;37.245
2004;Semana 7;36.825
2004;Semana 8;36.476
2004;Semana 9;37.685
2004;Semana 10;37.974
2004;Semana 11;38.404
2004;Semana 12;38.859
2004;Semana 13;38.730
2004;Semana 14;39.604
2004;Semana 15;40.155
2004;Semana 16;40.238
2004;Semana 17;40.452
2004;Semana 18;40.549
2004;Semana 19;40.778
2004;Semana 20;40.889
2004;Semana 21;40.756
2004;Semana 22;40.915
2004;Semana 23;40.704
2004;Semana 24;40.458
2004;Semana 25;39.918
2004;Semana 26;39.279
2004;Semana 27;38.395
2004;Semana 28;37.652
2004;Semana 29;36.872
2004;Semana 30;36.023
2004;Semana 31;35.166
2004;Semana 32;34.453
2004;Semana 33;33.718
2004;Semana 34;33.103
2004;Semana 35;32.254
2004;Semana 36;31.552
2004;Semana 37;31.259
2004;Semana 38;30.811
2004;Semana 39;30.324
2004;Semana 40;29.797
2004;Semana 41;29.277
2004;Semana 42;28.999
2004;Semana 43;29.457
2004;Semana 44;30.209
2004;Semana 45;30.516
2004;Semana 46;30.637
2004;Semana 47;30.459
2004;Semana 48;30.070
2004;Semana 49;29.959
2004;Semana 50;29.960
2004;Semana 51;29.922
2004;Semana 52;30.061
2004;Semana 53;30.377
2005;Semana 1;30.377
2005;Semana 2;30.475
2005;Semana 3;30.471
2005;Semana 4;30.722
2005;Semana 5;30.731
2005;Semana 6;30.803
2005;Semana 7;30.787
2005;Semana 8;30.842
2005;Semana 9;30.755
2005;Semana 10;30.464
2005;Semana 11;30.361
2005;Semana 12;30.576
2005;Semana 13;31.056
2005;Semana 14;31.425
2005;Semana 15;31.765
2005;Semana 16;31.917
2005;Semana 17;32.191
2005;Semana 18;32.122
2005;Semana 19;31.926
2005;Semana 20;31.753
2005;Semana 21;31.843
2005;Semana 22;31.484
2005;Semana 23;31.016
2005;Semana 24;30.398
2005;Semana 25;29.786
2005;Semana 26;28.991
2005;Semana 27;28.303
2005;Semana 28;27.612
2005;Semana 29;26.791
2005;Semana 30;25.934
2005;Semana 31;25.168
2005;Semana 32;24.494
2005;Semana 33;23.866
2005;Semana 34;23.190
2005;Semana 35;22.657
2005;Semana 36;22.037
2005;Semana 37;21.735
2005;Semana 38;21.513
2005;Semana 39;21.238
2005;Semana 40;20.973
2005;Semana 41;20.756
2005;Semana 42;20.937
2005;Semana 43;21.100
2005;Semana 44;21.643
2005;Semana 45;22.222
2005;Semana 46;22.474
2005;Semana 47;23.008
2005;Semana 48;23.209
2005;Semana 49;23.706
2005;Semana 50;24.226
